"Block";"Rack";"Pop";"Env";"Col"
"1";1;"CRC";"fraise";1
"1";1;"CEA";"cerise";2
"1";1;"CRB";"cerise";3
"1";1;"CEC";"cerise";4
"1";1;"FRB";"cranberry";5
"1";1;"FRA";"fraise";6
"1";1;"CEB";"fraise";7
"1";1;"FRC";"cranberry";8
"1";1;"CRE";"cranberry";9
"1";2;"CRB";"cranberry";1
"1";2;"CEA";"fraise";2
"1";2;"CEC";"cranberry";3
"1";2;"CRC";"cerise";4
"1";2;"CEB";"cranberry";5
"1";2;"FRB";"fraise";6
"1";2;"FRC";"fraise";7
"1";2;"FRA";"cerise";8
"1";2;"CRE";"cerise";9
"1";3;"FRB";"cerise";1
"1";3;"FRC";"cerise";2
"1";3;"CRB";"fraise";3
"1";3;"CEA";"cranberry";4
"1";3;"CEC";"fraise";5
"1";3;"CRC";"cranberry";6
"1";3;"CEB";"cerise";7
"1";3;"FRA";"cranberry";8
"1";3;"CRE";"fraise";9
"2";4;"FRA";"cranberry";1
"2";4;"CRE";"cranberry";2
"2";4;"CEA";"cranberry";3
"2";4;"CEB";"fraise";4
"2";4;"FRB";"cerise";5
"2";4;"CRC";"cerise";6
"2";4;"CRB";"fraise";7
"2";4;"FRC";"fraise";8
"2";4;"CEC";"cerise";9
"2";5;"FRB";"fraise";1
"2";5;"CRE";"fraise";2
"2";5;"CRC";"cranberry";3
"2";5;"FRA";"cerise";4
"2";5;"CEB";"cerise";5
"2";5;"CEC";"cranberry";6
"2";5;"FRC";"cranberry";7
"2";5;"CEA";"fraise";8
"2";5;"CRB";"cerise";9
"2";6;"CRE";"cerise";1
"2";6;"FRA";"fraise";2
"2";6;"CEA";"cerise";3
"2";6;"FRC";"cerise";4
"2";6;"CRC";"fraise";5
"2";6;"CEC";"fraise";6
"2";6;"CEB";"cranberry";7
"2";6;"CRB";"cranberry";8
"2";6;"FRB";"cranberry";9
"3";7;"CEB";"fraise";1
"3";7;"FRA";"cranberry";2
"3";7;"CRB";"fraise";3
"3";7;"FRB";"cerise";4
"3";7;"CRE";"cranberry";5
"3";7;"CRC";"cerise";6
"3";7;"CEA";"cranberry";7
"3";7;"FRC";"fraise";8
"3";7;"CEC";"cerise";9
"3";8;"FRB";"fraise";1
"3";8;"FRA";"cerise";2
"3";8;"CRE";"fraise";3
"3";8;"CEB";"cerise";4
"3";8;"CRB";"cerise";5
"3";8;"CRC";"cranberry";6
"3";8;"CEA";"fraise";7
"3";8;"CEC";"cranberry";8
"3";8;"FRC";"cranberry";9
"3";9;"CRE";"cerise";1
"3";9;"CEB";"cranberry";2
"3";9;"CEA";"cerise";3
"3";9;"FRC";"cerise";4
"3";9;"FRA";"fraise";5
"3";9;"CRC";"fraise";6
"3";9;"CEC";"fraise";7
"3";9;"CRB";"cranberry";8
"3";9;"FRB";"cranberry";9
"4";10;"CEB";"fraise";1
"4";10;"FRA";"cranberry";2
"4";10;"FRB";"cerise";3
"4";10;"CRC";"cerise";4
"4";10;"CEC";"cerise";5
"4";10;"CRE";"cranberry";6
"4";10;"CRB";"fraise";7
"4";10;"FRC";"fraise";8
"4";10;"CEA";"cranberry";9
"4";11;"FRA";"cerise";1
"4";11;"FRB";"fraise";2
"4";11;"CEB";"cerise";3
"4";11;"CRE";"fraise";4
"4";11;"CRC";"cranberry";5
"4";11;"CEC";"cranberry";6
"4";11;"CEA";"fraise";7
"4";11;"CRB";"cerise";8
"4";11;"FRC";"cranberry";9
"4";12;"CRE";"cerise";1
"4";12;"CEA";"cerise";2
"4";12;"FRA";"fraise";3
"4";12;"CEB";"cranberry";4
"4";12;"CRB";"cranberry";5
"4";12;"CRC";"fraise";6
"4";12;"FRC";"cerise";7
"4";12;"CEC";"fraise";8
"4";12;"FRB";"cranberry";9
